Review,Sentiment
"Product was overpriced, not worth the extra cost.",Negative
Product exceeded expectations in overall performance and value.,Positive
"Product was cancelled during checkout, very frustrating process.",Negative
Delivered quickly and the quality is excellent always.,Positive
"Product is mediocre, nothing impressive or outstanding whatsoever.",Neutral
Product exceeded my expectations with easy setup process.,Positive
"Product was satisfactory, but delivery was delayed once again.",Neutral
Product was overpriced with average performance quality.,Neutral
"Product was exactly as described, great value for money.","Positive

This review was randomly generated to meet the requirements."
"Product exceeded expectations, great value for money.",Positive
Product exceeded expectations every single time purchased.,Positive
This product exceeded my expectations in quality and value.,"Positive

You're reporting an error. Please try again."
Poor customer service ruined my entire experience.,Negative
The customer service was very helpful and responsive always.,Positive
Product was great quality good price shipping was fast too.,Positive
"Product exceeded expectations, exceeded my purchasing budget unnecessarily",Negative
Product was reliable for an online purchase experience.,Neutral
Product was overpriced for what it offered.,Negative
"""Good quality products but delivery is always delayed.""",Negative
Quality customer care is hard to find these days.,Negative
"Average quality, just as expected at this price range.",Neutral
Product exceeded expectations with excellent customer support always available.,Positive
Product was late and didn't meet expectations completely.,Negative
Product was delivered quickly and works exactly as expected.,Positive
Product exceeded my expectations in every single way.,Positive
"Customer had a pleasant experience with their recent purchase, exceeded expectations completely.",Positive
"Here is a generated customer review:


Expected faster shipping but received promptly anyway.",Neutral
"Product met expectations, decent quality for the price given.",Positive
"Product was overpriced, but the quality is great really.",Negative
This store has terrible customer service always.,Negative
"Product was delivered quickly, exceeded expectations every single time",Positive
Product arrived on time as promised exactly as description stated.,Positive
This store is convenient and offers great discounts anytime.,Positive
This customer service is very helpful and responsive always.,Positive
This company shipped wrong items despite accurate order placement.,Negative
"Product came faster than expected, good value for price paid.",Positive
Great value for the price paid quickly was very satisfying.,Positive
Product was too heavy for a laptop stand to hold securely.,Negative
Product shipped quickly and arrived broken.,Negative
"Products arrived quickly, met all my expectations.",Positive
"I paid full price for a used item, too expensive.",Negative
Product was overpriced for the quality provided.,Negative
Product exceeded expectations in terms of quality and value.,Positive
The customer service was helpful and very responsive always(,Positive)
Product delivered quickly and met all expectations perfectly.,Positive
Product exceeded my expectations for the price.,Positive
"Product was exactly as described, great value for money.",Positive
The customer support team was very helpful and responsive quickly.,Positive
"Here is a generated customer review:


Product exceeded my expectations every single day.",Positive
This company has excellent customer service and support always helps.,Positive
